facility_id,process_name,equipment_id,period,energy_kwh,production_units,co2_factor_kg_per_kwh,operating_hours,target_kwh_per_unit,baseline_energy_kwh
PLT-01,Compresion,COMP-01,2025-01,18500,4200,0.182,310,3.9,17200
PLT-01,Compresion,COMP-01,2025-02,19120,4150,0.182,302,3.9,17200
PLT-01,Compresion,COMP-01,2025-03,20480,4300,0.182,325,3.9,17200
PLT-01,Hornos,FUR-02,2025-01,32200,5100,0.182,410,5.85,30500
PLT-01,Hornos,FUR-02,2025-02,31850,5050,0.182,398,5.85,30500
PLT-01,Hornos,FUR-02,2025-03,34760,5000,0.182,430,5.85,30500
PLT-02,Bombeo,PUMP-07,2025-01,12400,7800,0.201,280,1.65,11800
PLT-02,Bombeo,PUMP-07,2025-02,11980,7900,0.201,276,1.65,11800
PLT-02,Bombeo,PUMP-07,2025-03,15850,7600,0.201,340,1.65,11800
PLT-02,Refrigeracion,CH-11,2025-01,22800,3900,0.201,355,5.2,21500
PLT-02,Refrigeracion,CH-11,2025-02,,3920,0.201,349,5.2,21500
PLT-02,Refrigeracion,CH-11,2025-03,23640,3880,0.201,362,5.2,21500
